"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","Delete file","LMS service","Wed Jul 01 05:25:07 UTC 2026","passed","Wed Jul 01 05:25:07 UTC 2026","Delete entity","Files","",""
"","60","Create file","LMS service","Wed Jul 01 05:25:06 UTC 2026","passed","Wed Jul 01 05:25:06 UTC 2026","Create entity","Files","",""
"","269","Get file with incorrect file id","LMS service","Wed Jul 01 05:25:09 UTC 2026","passed","Wed Jul 01 05:25:09 UTC 2026","Validate entity","Files","",""
"","24","Update exercise","LMS service","Wed Jul 01 05:25:03 UTC 2026","passed","Wed Jul 01 05:25:03 UTC 2026","Update entity","Exercises","",""
"","264","Create file with empty filename","LMS service","Wed Jul 01 05:25:08 UTC 2026","passed","Wed Jul 01 05:25:08 UTC 2026","Validate entity","Files","",""
"","549","Login with correct email and password","LMS service","Wed Jul 01 05:25:00 UTC 2026","passed","Wed Jul 01 05:25:01 UTC 2026","Login","Authentication","",""
"","21","Create exercise","LMS service","Wed Jul 01 05:25:03 UTC 2026","passed","Wed Jul 01 05:25:03 UTC 2026","Create entity","Exercises","",""
"","18","Get exercises","LMS service","Wed Jul 01 05:25:06 UTC 2026","passed","Wed Jul 01 05:25:06 UTC 2026","Get entities","Exercises","",""
"","30","Update course","LMS service","Wed Jul 01 05:25:01 UTC 2026","passed","Wed Jul 01 05:25:01 UTC 2026","Update entity","Courses","",""
"","25","Get courses","LMS service","Wed Jul 01 05:25:02 UTC 2026","passed","Wed Jul 01 05:25:02 UTC 2026","Get entities","Courses","",""
"","12","Get user me","LMS service","Wed Jul 01 05:25:10 UTC 2026","passed","Wed Jul 01 05:25:10 UTC 2026","Get entity","Users","",""
"","526","Attempt to create user with email: example.com","LMS service","Wed Jul 01 05:25:09 UTC 2026","passed","Wed Jul 01 05:25:09 UTC 2026","Create entity","Users","",""
"","54","Create file with empty directory","LMS service","Wed Jul 01 05:25:08 UTC 2026","passed","Wed Jul 01 05:25:08 UTC 2026","Validate entity","Files","",""
"","13","Get file","LMS service","Wed Jul 01 05:25:07 UTC 2026","passed","Wed Jul 01 05:25:07 UTC 2026","Get entity","Files","",""
"","507","Attempt to create user with email: mail.ru","LMS service","Wed Jul 01 05:25:08 UTC 2026","passed","Wed Jul 01 05:25:09 UTC 2026","Create entity","Users","",""
"","18","Delete exercise","LMS service","Wed Jul 01 05:25:04 UTC 2026","passed","Wed Jul 01 05:25:04 UTC 2026","Delete entity","Exercises","",""
"","15","Get exercise","LMS service","Wed Jul 01 05:25:04 UTC 2026","passed","Wed Jul 01 05:25:04 UTC 2026","Get entity","Exercises","",""
"","27","Create course","LMS service","Wed Jul 01 05:25:02 UTC 2026","passed","Wed Jul 01 05:25:02 UTC 2026","Create entity","Courses","",""
"","553","Attempt to create user with email: gmail.com","LMS service","Wed Jul 01 05:25:09 UTC 2026","passed","Wed Jul 01 05:25:10 UTC 2026","Create entity","Users","",""
